order_id,customer_id,product_id,category,price,discount,quantity,payment_method,order_date,delivered_date,region,returned,request_date,return_reason,total_amount,shipping_cost,profit_margin,customer_age,customer_gender,delivery_days,return_request_days,order_month,order_year,order_quarter,profit_category,return_probability
O101208,C10302,P232975,Grocery,10,0,3,Debit Card,21-09-2024,29-09-2024,East,No,,,30,4.66,-2.26,47,Male,8,,September,2024,3,Loss,0.19
O101222,C15431,P212332,Electronics,214.94,0.3,1,Credit Card,11-01-2025,16-01-2025,North,No,,,150.46,6.85,11.21,59,Female,5,,January,2025,1,Profit,0.28
O101273,C17721,P235018,Fashion,41.17,0.1,3,Debit Card,02-11-2024,05-11-2024,Central,No,,,111.16,6.17,32.74,21,Female,3,,November,2024,4,Profit,0.205
O101277,C12739,P248071,Electronics,156.02,0,1,Credit Card,31-05-2025,03-06-2025,North,No,,,156.02,7.25,11.47,61,Female,3,,May,2025,2,Profit,0.285
O101279,C17487,P230632,Beauty,10.83,0,1,Credit Card,17-03-2024,21-03-2024,North,No,,,10.83,4.53,0.34,43,Female,4,,March,2024,1,Profit,0.215
O101284,C10876,P221621,Grocery,4.45,0,1,Debit Card,26-10-2024,30-10-2024,West,No,,,4.45,3.3,-2.94,69,Male,4,,October,2024,4,Loss,0.19
O101285,C16085,P213219,Fashion,10.66,0,1,UPI,27-03-2025,30-03-2025,North,No,,,10.66,3.72,0.01,23,Male,3,,March,2025,1,Profit,0.195
O101295,C16767,P222121,Electronics,73.76,0.15,1,Credit Card,04-09-2024,08-09-2024,North,No,,,62.7,7.61,-0.09,68,Female,4,,September,2024,3,Loss,0.19
O101305,C11160,P216756,Grocery,30.51,0.15,3,Credit Card,16-01-2025,22-01-2025,South,No,,,77.8,6.85,-0.63,67,Male,6,,January,2025,1,Loss,0.195
O101312,C12595,P206586,Fashion,35.09,0,4,Debit Card,08-04-2024,13-04-2024,South,No,,,140.36,8.53,40.6,20,Female,5,,April,2024,2,Profit,0.24
O101320,C10003,P212129,Grocery,1.08,0.05,1,Debit Card,11-06-2025,16-06-2025,Central,No,,,1.03,1.11,-1.03,38,Male,5,,June,2025,2,Loss,0.19
O101325,C15725,P213499,Electronics,145.94,0.05,1,Credit Card,01-10-2024,05-10-2024,North,No,,,138.64,7.29,9.35,55,Male,4,,October,2024,4,Profit,0.19
O101330,C15560,P245540,Home,383.22,0,4,Credit Card,21-12-2023,25-12-2023,South,No,,,1532.88,9.75,419.46,69,Female,4,,December,2023,4,Profit,0.215
O101341,C15529,P211360,Beauty,45.55,0.15,1,Credit Card,17-11-2023,20-11-2023,North,No,,,38.72,5.56,11.86,54,Female,3,,November,2023,4,Profit,0.19
O101342,C11141,P238883,Home,15.84,0.3,1,Debit Card,14-02-2025,18-02-2025,North,No,,,11.09,4.66,-1.55,64,Male,4,,February,2025,1,Loss,0.225
O101345,C10723,P242040,Fashion,52.26,0.15,1,Credit Card,10-01-2024,14-01-2024,North,No,,,44.42,4.07,11.48,28,Female,4,,January,2024,1,Profit,0.205
O101349,C16283,P239883,Fashion,123.39,0,4,Debit Card,23-10-2023,28-10-2023,Central,No,,,493.56,10.43,162.32,46,Female,5,,October,2023,4,Profit,0.265
O101375,C13713,P222622,Fashion,87.71,0.15,1,Debit Card,03-05-2025,10-05-2025,East,No,,,74.55,5.96,20.13,60,Female,7,,May,2025,2,Profit,0.19
O101388,C13490,P206500,Sports,19.92,0.05,1,Credit Card,27-03-2025,31-03-2025,North,No,,,18.92,5.2,0.48,24,Female,4,,March,2025,1,Profit,0.205
O101396,C11969,P232007,Beauty,36.89,0,1,Credit Card,23-03-2024,27-03-2024,North,No,,,36.89,5.86,10.74,47,Female,4,,March,2024,1,Profit,0.195
O101404,C12560,P212756,Grocery,39.94,0,1,Debit Card,07-06-2025,10-06-2025,Central,No,,,39.94,6.3,-3.1,23,Male,3,,June,2025,2,Loss,0.2
O101405,C15415,P214262,Fashion,159.42,0.1,1,Debit Card,27-01-2025,02-02-2025,East,No,,,143.48,7.02,43.2,48,Female,6,,January,2025,1,Profit,0.19
O101434,C11318,P233117,Grocery,16.44,0.1,3,Credit Card,12-03-2025,18-03-2025,South,No,,,44.39,5.58,-2.03,19,Male,6,,March,2025,1,Loss,0.195
O101447,C12192,P249225,Electronics,666.24,0.3,1,Credit Card,29-01-2025,01-02-2025,North,No,,,466.37,11.11,44.85,47,Female,3,,January,2025,1,Profit,0.28
O101450,C14598,P206949,Fashion,138.48,0,1,Debit Card,29-03-2025,03-04-2025,East,Yes,11-04-2025,Missing/Wrong item,138.48,8.88,39.59,52,Female,5,8,March,2025,1,Profit,0.19
O101458,C11970,P238302,Fashion,5.56,0.2,4,Credit Card,06-09-2024,13-09-2024,West,No,,,17.79,4.81,1.42,40,Female,7,,September,2024,3,Profit,0.23
O101494,C15237,P217977,Fashion,22.22,0.1,1,Credit Card,13-09-2023,19-09-2023,East,No,,,20,6.1,0.9,43,Female,6,,September,2023,3,Profit,0.235
O101507,C17428,P229553,Beauty,9.65,0,1,Credit Card,09-01-2024,12-01-2024,North,No,,,9.65,3.14,1.2,25,Female,3,,January,2024,1,Profit,0.205
O101527,C15961,P240285,Fashion,51.2,0.05,1,Credit Card,24-06-2024,28-06-2024,North,No,,,48.64,6.43,10.59,25,Female,4,,June,2024,2,Profit,0.205
O101564,C16024,P205406,Fashion,87.4,0.2,1,Credit Card,16-11-2023,21-11-2023,North,No,,,69.92,6.73,17.74,37,Female,5,,November,2023,4,Profit,0.205
O101566,C14146,P217858,Fashion,6.9,0,3,Debit Card,14-10-2023,17-10-2023,North,No,,,20.7,3.94,3.3,37,Male,3,,October,2023,4,Profit,0.21
O101579,C11645,P209805,Electronics,178.96,0,1,Credit Card,01-08-2024,04-08-2024,North,No,,,178.96,6.75,14.73,35,Male,3,,August,2024,3,Profit,0.19
O101598,C16456,P208696,Grocery,4.93,0,1,Debit Card,13-03-2024,18-03-2024,West,No,,,4.93,2.95,-2.56,63,Male,5,,March,2024,1,Loss,0.19
O101675,C15490,P230387,Fashion,13.26,0,1,Debit Card,29-06-2024,04-07-2024,South,No,,,13.26,4.06,0.58,59,Female,5,,June,2024,2,Profit,0.29
O101699,C14064,P225223,Fashion,81.68,0,1,Debit Card,19-03-2024,23-03-2024,South,No,,,81.68,7.2,21.39,18,Female,4,,March,2024,1,Profit,0.255
O101728,C17970,P249094,Fashion,66.35,0.1,1,Debit Card,22-03-2025,27-03-2025,South,No,,,59.72,6.22,14.68,52,Female,5,,March,2025,1,Profit,0.245
O101751,C12198,P218281,Fashion,87.85,0.2,1,Debit Card,13-09-2023,17-09-2023,Central,No,,,70.28,5.07,19.53,66,Female,4,,September,2023,3,Profit,0.235
O101805,C14033,P239215,Grocery,13.99,0,1,Debit Card,03-03-2025,06-03-2025,Central,No,,,13.99,4.05,-2.93,51,Male,3,,March,2025,1,Loss,0.2
O101833,C15796,P247062,Fashion,7.99,0,4,COD,15-07-2024,18-07-2024,North,No,,,31.96,4.69,6.5,61,Male,3,,July,2024,3,Profit,0.2
O101834,C17320,P214893,Sports,141.06,0,1,Credit Card,13-12-2023,16-12-2023,North,No,,,141.06,7.2,35.12,32,Female,3,,December,2023,4,Profit,0.195
O101837,C14683,P207145,Sports,200.04,0,1,Credit Card,24-01-2024,28-01-2024,North,No,,,200.04,6.75,53.26,51,Female,4,,January,2024,1,Profit,0.195
O101855,C11708,P221086,Fashion,11.09,0.1,1,UPI,23-03-2025,27-03-2025,North,No,,,9.98,3.77,-0.28,48,Male,4,,March,2025,1,Loss,0.21
O101898,C10750,P212069,Home,181.71,0,3,Credit Card,05-06-2025,09-06-2025,South,No,,,545.13,9.47,143.17,43,Female,4,,June,2025,2,Profit,0.225
O101926,C17970,P234075,Fashion,8.19,0,1,Credit Card,19-07-2024,23-07-2024,South,No,,,8.19,1.73,1.14,54,Female,4,,July,2024,3,Profit,0.255
O101932,C11458,P200291,Fashion,21.59,0.15,1,Wallet,20-07-2025,24-07-2025,North,Yes,31-07-2025,Defective,18.35,5.4,1.02,19,Male,4,7,July,2025,3,Profit,0.205
O101944,C10329,P208638,Fashion,63.22,0.05,1,Debit Card,01-06-2024,07-06-2024,South,No,,,60.06,6.54,14.48,54,Female,6,,June,2024,2,Profit,0.245
O101945,C13640,P237141,Fashion,162.41,0.15,1,Debit Card,24-01-2025,30-01-2025,South,No,,,138.05,7.35,40.97,66,Female,6,,January,2025,1,Profit,0.245
O101955,C14062,P208250,Fashion,30.87,0.2,1,Debit Card,04-01-2024,07-01-2024,North,No,,,24.7,4.52,4.12,68,Female,3,,January,2024,1,Profit,0.23
O101991,C16831,P210687,Toys,10.74,0,1,Credit Card,26-05-2025,29-05-2025,North,No,,,10.74,3.93,0.37,37,Male,3,,May,2025,2,Profit,0.195
O102011,C12667,P223265,Beauty,48.28,0.05,1,Credit Card,02-11-2024,05-11-2024,North,No,,,45.87,5.01,15.63,50,Female,3,,November,2024,4,Profit,0.19
O102050,C17583,P218113,Fashion,20.99,0,2,Debit Card,13-09-2024,17-09-2024,Central,Yes,09-10-2024,Not as described,41.98,6.72,7.97,63,Female,4,22,September,2024,3,Profit,0.2
O102055,C10813,P202583,Fashion,33.95,0,4,Credit Card,20-04-2024,24-04-2024,North,No,,,135.8,6.89,40.64,25,Female,4,,April,2024,2,Profit,0.255
O102075,C12624,P223363,Fashion,145.83,0,1,Debit Card,04-09-2025,07-09-2025,North,No,,,145.83,4.82,46.22,44,Female,3,,September,2025,3,Profit,0.22
O102077,C12050,P242414,Fashion,14.17,0,4,Debit Card,18-07-2024,26-07-2024,East,No,,,56.68,7.11,12.73,47,Female,8,,July,2024,3,Profit,0.2
O102090,C17092,P221545,Fashion,13.19,0,1,COD,09-09-2025,16-09-2025,South,No,,,13.19,4.83,-0.21,69,Female,7,,September,2025,3,Loss,0.19
O102112,C15181,P233521,Electronics,72.44,0.05,1,Credit Card,21-09-2024,24-09-2024,North,Yes,03-10-2024,No longer needed,68.82,6.23,2.03,26,Female,3,9,September,2024,3,Profit,0.225
O102120,C15703,P215770,Electronics,488.36,0,1,Credit Card,06-02-2024,09-02-2024,North,Yes,04-03-2024,Defective,488.36,8.29,50.31,24,Female,3,24,February,2024,1,Profit,0.285
O102126,C13564,P212869,Fashion,54.92,0,1,Debit Card,21-07-2025,25-07-2025,Central,Yes,30-07-2025,Not as described,54.92,4.88,14.34,34,Female,4,5,July,2025,3,Profit,0.23
O102141,C10053,P229070,Fashion,21.38,0,1,Credit Card,02-05-2024,07-05-2024,East,No,,,21.38,6.11,1.37,53,Female,5,,May,2024,2,Profit,0.225
O102143,C10726,P229018,Grocery,3.5,0.1,1,Debit Card,27-04-2025,30-04-2025,North,No,,,3.15,3.36,-3.11,21,Male,3,,April,2025,2,Loss,0.19
O102163,C14876,P210739,Electronics,116.84,0,1,Credit Card,07-08-2024,10-08-2024,North,No,,,116.84,7.01,7.01,54,Female,3,,August,2024,3,Profit,0.26
O102189,C11560,P203695,Toys,2.52,0,5,Debit Card,20-05-2025,24-05-2025,North,No,,,12.6,4.78,0.26,68,Male,4,,May,2025,2,Profit,0.19
O102195,C17291,P202700,Grocery,17.59,0.1,1,Debit Card,01-03-2024,07-03-2024,East,No,,,15.83,5.03,-3.76,20,Male,6,,March,2024,1,Loss,0.2
O102209,C10795,P247461,Grocery,40.01,0.15,3,Credit Card,14-10-2024,20-10-2024,South,No,,,102.03,8.62,-0.46,20,Female,6,,October,2024,4,Loss,0.195
O102212,C14688,P248867,Fashion,26.55,0.05,4,Credit Card,02-02-2024,07-02-2024,North,No,,,100.89,6.96,28.35,43,Male,5,,February,2024,1,Profit,0.225
O102287,C14795,P235552,Fashion,57.01,0,1,Debit Card,11-04-2024,16-04-2024,South,No,,,57.01,6.21,13.74,25,Female,5,,April,2024,2,Profit,0.255
O102328,C17437,P214628,Fashion,13.24,0,1,Debit Card,18-04-2024,21-04-2024,Central,No,,,13.24,4.6,0.03,30,Female,3,,April,2024,2,Profit,0.225
O102340,C10028,P222900,Fashion,142.51,0.05,1,Debit Card,03-08-2024,09-08-2024,North,No,,,135.38,5.9,41.48,51,Female,6,,August,2024,3,Profit,0.22
O102357,C16096,P240986,Fashion,15.85,0.05,1,Debit Card,02-08-2024,07-08-2024,East,No,,,15.06,4.34,0.93,44,Female,5,,August,2024,3,Profit,0.275
O102362,C13342,P213679,Fashion,13.24,0,2,Debit Card,26-08-2025,30-08-2025,Central,No,,,26.48,5.87,3.4,25,Female,4,,August,2025,3,Profit,0.21
O102380,C13511,P216587,Fashion,127.9,0.05,1,Debit Card,20-05-2025,24-05-2025,South,No,,,121.5,7.1,35.42,67,Female,4,,May,2025,2,Profit,0.245
O102387,C14179,P209507,Fashion,15.39,0,1,UPI,13-12-2023,19-12-2023,North,No,,,15.39,3.09,2.3,20,Female,6,,December,2023,4,Profit,0.195
O102395,C14665,P235627,Fashion,16.3,0,1,Credit Card,15-07-2024,19-07-2024,North,No,,,16.3,5.87,-0.17,44,Female,4,,July,2024,3,Loss,0.26
O102413,C15179,P240023,Fashion,37,0.2,1,Credit Card,30-04-2024,06-05-2024,North,No,,,29.6,5.86,4.5,66,Female,6,,April,2024,2,Profit,0.21
O102467,C15439,P249211,Fashion,18.98,0,1,Debit Card,21-02-2024,27-02-2024,South,No,,,18.98,5.07,1.57,41,Male,6,,February,2024,1,Profit,0.225
O102487,C12448,P215756,Fashion,45.82,0.05,1,Debit Card,22-03-2024,26-03-2024,South,No,,,43.53,4.26,10.98,24,Female,4,,March,2024,1,Profit,0.245
O102545,C15979,P229469,Grocery,32.4,0,2,Credit Card,20-02-2025,23-02-2025,North,No,,,64.8,5.71,-0.53,48,Female,3,,February,2025,1,Loss,0.215
O102559,C10021,P242580,Home,354.15,0,3,Credit Card,18-02-2025,23-02-2025,South,No,,,1062.45,9.66,287.83,59,Female,5,,February,2025,1,Profit,0.225
O102565,C17867,P204378,Toys,41.27,0,1,Credit Card,22-03-2025,27-03-2025,North,No,,,41.27,5.89,10.62,20,Female,5,,March,2025,1,Profit,0.195
O102613,C15451,P206221,Fashion,14.26,0.2,1,Debit Card,12-04-2025,17-04-2025,North,No,,,11.41,1.64,2.35,23,Female,5,,April,2025,2,Profit,0.255
O102629,C16295,P239558,Electronics,229.49,0,1,Credit Card,13-03-2025,17-03-2025,North,No,,,229.49,9.27,18.27,46,Female,4,,March,2025,1,Profit,0.285
O102646,C14390,P207261,Fashion,118.87,0,1,Debit Card,18-11-2024,22-11-2024,South,No,,,118.87,7.14,34.46,47,Female,4,,November,2024,4,Profit,0.255
O102721,C14957,P210185,Fashion,24.84,0.2,3,Debit Card,02-05-2024,08-05-2024,South,Yes,19-05-2024,Not as described,59.62,5.17,15.7,34,Female,6,11,May,2024,2,Profit,0.23
O102744,C11655,P213952,Electronics,59.62,0.05,1,Credit Card,11-02-2024,15-02-2024,Central,No,,,56.64,7.28,-0.48,41,Male,4,,February,2024,1,Loss,0.21
O102763,C12844,P217843,Fashion,16.07,0,1,Credit Card,02-02-2025,09-02-2025,East,Yes,20-02-2025,Missing/Wrong item,16.07,4.66,0.96,21,Female,7,11,February,2025,1,Profit,0.24
O102767,C14293,P246431,Grocery,27.45,0,1,Debit Card,09-06-2025,12-06-2025,Central,No,,,27.45,5.77,-3.57,41,Male,3,,June,2025,2,Loss,0.2
O102772,C15280,P207943,Fashion,9.88,0.1,1,Debit Card,07-07-2025,10-07-2025,North,No,,,8.89,2.03,1.08,59,Male,3,,July,2025,3,Profit,0.19
O102797,C17595,P236759,Fashion,53.06,0.3,1,Debit Card,25-10-2023,29-10-2023,South,No,,,37.14,6.73,6.27,65,Other,4,,October,2023,4,Profit,0.24
O102805,C15455,P211112,Fashion,194.68,0,2,Debit Card,28-04-2024,02-05-2024,South,No,,,389.36,8.23,128.05,45,Other,4,,April,2024,2,Profit,0.225
O102814,C11014,P207430,Fashion,48.24,0,1,Debit Card,04-03-2025,09-03-2025,East,No,,,48.24,8.19,8.69,29,Female,5,,March,2025,1,Profit,0.19
O102819,C14612,P227664,Fashion,6.45,0,2,PayPal,10-10-2024,14-10-2024,South,No,,,12.9,3.01,1.5,40,Female,4,,October,2024,4,Profit,0.21
O102839,C14683,P245995,Grocery,6.45,0,4,Debit Card,18-02-2024,22-02-2024,South,No,,,25.8,5.52,-3.46,48,Male,4,,February,2024,1,Loss,0.19
